Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
39,Marcus Camby,C,32,DEN,5,184,13.7,.399,.000,.133,7.6,38.1,23.1,8.9,1.2,6.7,17.3,14.5,,-0.2,0.4,0.2,.056,,-1.4,3.4,2.0,0.2,cambyma01
40,Anthony Carter,PG,31,DEN,1,14,25.5,.901,.000,.250,0.0,8.1,4.1,34.5,0.0,0.0,18.4,18.0,,0.1,0.0,0.1,.221,,5.0,2.8,7.9,0.0,cartean01
41,Vince Carter,SG,30,NJN,12,487,16.9,.490,.230,.374,4.3,15.7,10.1,26.9,1.2,1.2,12.2,30.8,,0.1,0.8,0.9,.091,,2.0,-0.5,1.5,0.4,cartevi01
42,Jarron Collins,C,28,UTA,13,110,7.0,.455,.000,1.889,8.5,12.9,10.7,6.3,1.9,0.0,5.7,7.1,,0.1,0.1,0.2,.090,,-3.0,1.5,-1.5,0.0,collija03
43,Jason Collins,PF,28,NJN,12,329,1.8,.542,.000,.524,5.9,8.6,7.3,0.9,1.2,0.8,38.2,6.1,,-0.2,0.4,0.2,.030,,-6.2,0.6,-5.5,-0.3,collija04
44,Brian Cook,PF,26,LAL,5,51,4.5,.466,.389,.167,4.2,9.7,6.7,0.0,0.0,1.5,9.4,18.1,,0.0,0.0,0.0,-0.019,,-6.0,-2.3,-8.3,-0.1,cookbr01
45,Austin Croshere,PF,31,DAL,3,34,10.7,.545,.333,.333,9.7,10.0,9.8,0.0,0.0,0.0,12.7,20.2,,0.1,0.0,0.0,.047,,-1.0,-3.1,-4.1,0.0,croshau01
46,Erick Dampier,C,31,DAL,5,38,7.9,.644,.000,.667,25.9,24.0,25.0,4.0,0.0,0.0,50.8,9.0,,0.0,0.0,0.0,.004,,-3.9,-2.9,-6.8,0.0,dampier01
47,Antonio Daniels,SG,31,WAS,4,176,20.5,.561,.132,.553,1.2,11.3,5.7,43.3,1.5,0.4,12.9,14.6,,0.5,0.0,0.5,.141,,3.8,0.6,4.5,0.3,daniean01
48,Baron Davis,PG,27,GSW,11,445,26.8,.622,.351,.387,2.7,10.1,6.3,30.3,3.6,1.2,12.5,25.4,,2.0,0.3,2.3,.247,,5.8,2.8,8.6,1.2,davisba01
49,Dale Davis,C,37,DET,8,51,6.0,.410,.000,.500,11.6,16.5,14.0,3.2,2.2,3.2,17.0,11.1,,0.0,0.1,0.1,.078,,-6.2,1.7,-4.5,0.0,davisda01
50,Carlos Delfino,SG,24,DET,16,135,9.6,.467,.432,.162,5.3,13.3,9.3,10.6,2.1,0.6,15.0,16.7,,0.0,0.2,0.2,.054,,-1.8,0.8,-1.0,0.0,delfica01
51,Luol Deng,SF,21,CHI,10,410,21.7,.575,.006,.339,8.6,16.1,12.4,12.7,1.3,1.4,10.6,24.4,,1.1,0.5,1.6,.188,,3.6,1.8,5.4,0.8,denglu01
52,Boris Diaw,PF,24,PHO,10,235,11.4,.503,.102,.254,6.8,8.9,7.9,18.4,1.5,0.7,20.6,15.9,,0.1,0.2,0.3,.052,,-0.9,0.5,-0.4,0.1,diawbo01
53,Yakhouba Diawara,SG,24,DEN,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.021,,-3.9,-1.0,-4.9,0.0,diawaya01
54,DeSagana Diop,C,25,DAL,6,140,12.0,.581,.000,.467,12.5,20.3,16.3,2.2,1.1,6.7,18.1,6.9,,0.2,0.1,0.2,.078,,-1.7,1.7,0.0,0.1,diopde01
55,Juan Dixon,SG,28,TOR,6,63,3.5,.429,.381,.000,0.0,7.6,3.9,8.7,5.9,0.0,32.3,23.8,,-0.3,0.1,-0.2,-0.182,,-8.1,1.3,-6.7,-0.1,dixonju01
56,Michael Doleac,C,29,MIA,1,1,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.025,,-2.8,-0.5,-3.4,0.0,doleami01
57,Keyon Dooling,SG,26,ORL,4,65,16.9,.525,.120,.240,1.9,10.9,6.4,14.4,1.7,1.3,6.7,22.0,,0.1,0.0,0.1,.080,,0.2,1.8,2.0,0.1,doolike01
58,Chris Duhon,PG,24,CHI,9,172,7.5,.452,.613,.323,2.1,8.7,5.4,19.5,0.9,0.5,16.5,11.4,,0.0,0.1,0.2,.055,,-2.2,0.3,-1.9,0.0,duhonch01
59,Tim Duncan*,C,30,SAS,20,736,27.4,.556,.000,.446,12.0,24.5,18.4,17.7,1.0,6.3,12.9,29.5,,1.9,1.4,3.3,.214,,3.8,3.0,6.9,1.7,duncati01
60,Monta Ellis,SG,21,GSW,11,238,8.6,.466,.110,.341,3.6,8.2,5.9,6.8,2.1,0.7,17.5,21.2,,-0.3,0.1,-0.2,-0.041,,-4.2,-1.1,-5.3,-0.2,ellismo01
61,Francisco Elson,C,30,SAS,20,230,11.8,.625,.023,.455,11.6,20.1,15.9,1.4,1.9,2.0,26.5,14.8,,0.1,0.4,0.5,.103,,-4.1,1.4,-2.7,0.0,elsonfr01
62,Maurice Evans,SG,28,LAL,5,82,11.0,.481,.500,.000,3.9,7.5,5.6,5.5,1.2,0.0,0.0,13.7,,0.1,0.0,0.1,.050,,1.1,-0.8,0.3,0.0,evansma01
63,Jordan Farmar,PG,20,LAL,5,114,11.6,.515,.357,.250,0.9,14.0,7.0,10.2,2.7,0.7,13.9,13.7,,0.1,0.0,0.1,.038,,-2.3,2.6,0.3,0.1,farmajo01
64,Michael Finley,SF,33,SAS,20,538,15.0,.576,.590,.219,1.8,10.7,6.4,6.8,1.1,0.6,6.2,18.3,,1.2,0.5,1.6,.146,,2.3,0.8,3.1,0.7,finlemi01
65,Derek Fisher,SG,32,UTA,16,445,11.5,.540,.264,.372,1.0,5.6,3.3,14.7,1.9,0.4,11.9,16.1,,0.7,0.2,0.9,.097,,-1.2,1.1,0.0,0.2,fishede01
66,T.J. Ford,PG,23,TOR,6,136,27.3,.563,.132,.276,4.6,4.4,4.5,43.6,2.7,1.4,14.1,35.2,,0.3,0.1,0.4,.146,,7.2,0.2,7.4,0.3,fordtj01
67,Adonal Foyle,C,31,GSW,3,6,20.0,1.000,.000,.000,0.0,38.5,18.6,0.0,0.0,0.0,0.0,7.4,,0.0,0.0,0.0,.215,,6.4,1.7,8.2,0.0,foylead01
68,Devean George,SF,29,DAL,6,109,4.4,.357,.480,.400,4.0,14.6,9.2,5.5,2.8,1.7,19.2,14.5,,-0.2,0.0,-0.2,-0.072,,-5.2,0.9,-4.2,-0.1,georgde01
69,Daniel Gibson,PG,20,CLE,20,402,16.8,.611,.569,.371,2.6,6.8,4.7,9.7,1.7,0.8,6.3,17.2,,1.2,0.5,1.8,.211,,2.7,2.7,5.4,0.8,gibsoda01
70,Manu Ginóbili*,SG,29,SAS,20,602,21.9,.559,.401,.470,3.2,17.8,10.7,21.6,3.0,0.5,12.4,26.8,,1.6,1.0,2.6,.204,,3.3,2.6,6.0,1.2,ginobma01
71,Gordan Giriček,SG,29,UTA,17,307,7.0,.530,.286,.176,1.5,9.2,5.4,8.8,0.5,0.6,18.3,17.5,,0.0,0.1,0.1,.009,,-2.3,-1.0,-3.3,-0.1,giricgo01
72,Drew Gooden,PF,25,CLE,20,605,15.7,.523,.010,.194,9.5,21.7,15.5,6.6,0.9,1.3,11.0,19.5,,0.7,1.0,1.7,.137,,-0.9,0.7,-0.3,0.3,goodedr01
73,Ben Gordon,SG,23,CHI,10,395,16.0,.584,.374,.429,2.7,8.5,5.6,18.4,1.2,0.2,16.3,24.4,,0.7,0.4,1.1,.132,,1.8,0.3,2.1,0.4,gordobe01
74,Joey Graham,SF,24,TOR,6,109,1.8,.345,.048,.238,1.1,20.9,11.2,2.9,2.0,0.0,20.5,12.9,,-0.3,0.1,-0.2,-0.087,,-7.4,-0.7,-8.1,-0.2,grahajo01
75,Adrian Griffin,SF,32,CHI,4,9,-19.0,.000,.000,.000,13.1,0.0,6.5,0.0,6.0,0.0,0.0,30.8,,-0.1,0.0,-0.1,-0.569,,-19.2,-6.9,-26.0,-0.1,griffad01
76,Richard Hamilton,SG,28,DET,16,638,16.4,.517,.079,.353,5.9,7.0,6.4,18.7,1.2,0.3,9.6,24.3,,1.3,0.6,1.8,.138,,2.0,-0.6,1.4,0.6,hamilri01
77,Matt Harpring,SF,30,UTA,17,433,12.5,.504,.029,.346,8.9,13.3,11.1,8.7,0.9,0.7,12.3,18.5,,0.4,0.2,0.6,.070,,-0.1,-1.0,-1.0,0.1,harprma01
78,Al Harrington,PF,26,GSW,11,262,12.8,.504,.388,.306,7.0,15.0,10.9,3.8,1.0,2.1,8.3,20.5,,0.3,0.1,0.4,.068,,-0.6,-1.6,-2.2,0.0,harrial01
79,Devin Harris,PG,23,DAL,6,163,18.5,.554,.159,.302,0.7,7.7,4.1,35.3,1.9,0.6,11.2,21.4,,0.5,0.0,0.4,.124,,1.4,1.2,2.6,0.2,harride01
80,Udonis Haslem,PF,26,MIA,4,103,11.3,.526,.000,.320,4.6,20.8,12.4,6.7,0.5,1.5,6.6,14.0,,0.1,0.0,0.2,.074,,-0.9,0.4,-0.5,0.0,hasleud01
81,Chuck Hayes,PF,23,HOU,7,197,10.0,.677,.059,.294,8.4,17.9,13.2,2.7,2.5,1.1,26.7,6.5,,0.1,0.3,0.5,.111,,-2.8,2.7,-0.1,0.1,hayesch01
82,Jarvis Hayes,SF,25,WAS,4,139,8.6,.438,.413,.152,3.0,8.9,5.7,4.8,0.8,0.5,0.0,16.7,,0.0,-0.1,0.0,-0.007,,-1.2,-2.3,-3.5,-0.1,hayesja01
83,Brendan Haywood,C,27,WAS,3,34,17.1,.742,.000,.571,9.1,7.3,8.3,5.2,1.6,0.0,10.2,13.6,,0.1,0.0,0.1,.175,,-1.3,-0.7,-2.0,0.0,haywobr01
84,Luther Head,SG,24,HOU,7,141,4.4,.405,.639,.222,1.7,13.7,7.8,10.5,1.2,1.0,15.0,16.0,,-0.2,0.2,-0.1,-0.024,,-5.5,0.6,-4.9,-0.1,headlu01
85,Nenê,C,24,DEN,5,179,19.4,.624,.000,.340,14.3,10.8,12.5,12.7,0.9,1.3,17.6,19.1,,0.5,0.1,0.6,.148,,2.2,1.1,3.3,0.2,hilarne01
86,Grant Hill*,SG,34,ORL,4,143,16.8,.571,.000,.868,1.7,16.5,9.2,17.9,0.8,0.6,16.0,21.1,,0.2,0.0,0.2,.072,,1.4,0.7,2.0,0.1,hillgr01
87,Kirk Hinrich,PG,26,CHI,10,362,13.1,.471,.368,.222,1.3,12.1,6.8,37.3,1.3,0.7,15.2,19.3,,0.3,0.4,0.7,.091,,-0.5,1.1,0.6,0.2,hinriki01
88,Robert Horry,PF,36,SAS,18,361,14.2,.571,.617,.283,5.4,17.3,11.4,12.1,1.6,5.0,17.2,10.7,,0.5,0.6,1.1,.144,,1.1,4.9,6.0,0.7,horryro01
89,Eddie House,SG,28,NJN,4,18,-2.5,.313,.750,.000,0.0,13.0,6.6,9.8,3.0,0.0,20.0,26.8,,-0.1,0.0,-0.1,-0.223,,-9.4,-0.8,-10.2,0.0,houseed01
90,Dwight Howard,C,21,ORL,4,167,15.3,.540,.000,.786,11.6,30.3,21.1,7.2,0.7,2.0,23.1,21.2,,-0.1,0.1,0.0,.010,,-0.5,-0.8,-1.3,0.0,howardw01
91,Josh Howard,SF,26,DAL,6,248,22.5,.577,.182,.273,6.6,20.2,13.3,13.5,2.7,1.9,9.8,21.5,,0.7,0.1,0.8,.161,,4.0,2.2,6.2,0.5,howarjo01
92,Juwan Howard,PF,33,HOU,7,157,10.1,.439,.000,.314,7.5,15.2,11.4,8.4,1.7,0.0,9.1,13.6,,0.0,0.2,0.2,.065,,-2.3,0.7,-1.6,0.0,howarju01
93,Larry Hughes,SG,28,CLE,18,639,9.5,.450,.271,.317,1.6,11.5,6.5,12.4,2.2,1.1,15.6,20.2,,-0.6,1.0,0.4,.031,,-3.1,1.2,-1.9,0.0,hughela01
94,Kris Humphries,PF,21,TOR,6,69,4.7,.359,.000,.889,12.6,17.4,15.1,2.3,0.8,2.7,19.3,10.9,,-0.1,0.0,0.0,-0.011,,-5.9,-1.7,-7.6,-0.1,humphkr01
95,Lindsey Hunter,PG,36,DET,13,133,2.4,.346,.581,.161,1.8,7.2,4.5,19.4,2.5,0.6,23.1,15.7,,-0.3,0.2,-0.1,-0.040,,-6.5,0.4,-6.1,-0.1,hunteli01
96,Zydrunas Ilgauskas,C,31,CLE,20,649,18.0,.553,.000,.345,11.9,23.1,17.5,5.1,0.8,2.1,12.4,19.2,,1.2,1.2,2.3,.173,,0.4,0.2,0.7,0.4,ilgauzy01
97,Allen Iverson*,SG,31,DEN,5,223,13.0,.447,.149,.272,0.0,1.5,0.8,25.4,1.7,0.0,10.5,29.6,,0.0,0.0,0.0,.008,,1.2,-1.4,-0.2,0.1,iversal01
98,Luke Jackson,SF,25,TOR,3,11,35.6,1.136,,,11.3,43.6,27.8,13.4,4.9,0.0,27.5,16.0,,0.1,0.0,0.1,.576,,3.0,9.7,12.7,0.0,jackslu02
99,Stephen Jackson,SF,28,GSW,11,454,15.0,.549,.447,.540,1.4,8.6,4.9,14.2,2.4,1.4,17.1,23.4,,0.5,0.2,0.6,.066,,0.6,0.1,0.7,0.3,jacksst02
100,LeBron James,SF,22,CLE,20,893,23.9,.516,.188,.491,3.4,17.9,10.6,37.4,2.1,1.0,12.0,29.7,,2.1,1.6,3.7,.200,,5.3,2.8,8.1,2.2,jamesle01
101,Antawn Jamison,PF,30,WAS,4,173,26.5,.555,.252,.272,7.7,18.6,12.7,6.7,0.6,1.8,5.7,33.5,,0.5,0.0,0.5,.145,,6.8,-1.5,5.2,0.3,jamisan01
102,Šarūnas Jasikevičius,PG,30,GSW,4,6,6.9,.266,.000,2.000,0.0,0.0,0.0,44.2,0.0,0.0,0.0,13.9,,0.0,0.0,0.0,-0.001,,-1.7,-2.0,-3.7,0.0,jasiksa01
103,Richard Jefferson,SF,26,NJN,12,489,16.7,.599,.238,.393,1.0,15.1,8.2,10.8,1.0,0.8,12.1,22.1,,0.9,0.7,1.6,.156,,0.8,0.6,1.4,0.4,jefferi01
