Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
12,New Orleans/Oklahoma City Hornets,82,241.5,35.2,76.7,.459,6.7,18.1,.367,28.5,58.5,.487,18.7,24.6,.760,10.5,30.5,41.0,19.3,6.4,5.3,14.6,23.3,95.6
13,Miami Heat*,82,240.9,35.0,79.6,.440,6.0,16.6,.361,29.0,63.0,.461,20.0,27.1,.739,10.1,28.8,38.8,19.5,6.8,3.6,13.0,23.6,96.0
14,Orlando Magic,82,242.7,35.0,77.2,.454,5.6,15.7,.357,29.4,61.5,.478,20.4,27.9,.732,11.1,27.3,38.4,20.0,7.5,4.7,13.4,23.2,96.0
15,Los Angeles Lakers*,82,242.1,35.9,79.8,.450,5.8,16.4,.353,30.1,63.5,.475,19.3,25.9,.747,10.9,29.3,40.1,21.1,6.5,4.3,14.1,23.5,96.9
16,Chicago Bulls*,82,242.7,33.8,79.5,.426,6.1,17.4,.351,27.7,62.0,.447,23.4,30.1,.777,10.7,31.0,41.7,20.1,7.5,5.1,15.0,23.0,97.2
17,Sacramento Kings*,82,241.8,37.2,82.0,.454,5.6,16.0,.351,31.6,66.0,.479,17.2,23.1,.747,11.6,30.5,42.1,21.1,8.0,4.9,14.6,23.0,97.3
18,Portland Trail Blazers,82,240.6,37.0,78.9,.468,6.1,15.9,.381,30.9,63.0,.491,18.3,24.0,.760,12.5,29.8,42.4,21.2,7.2,4.9,12.9,20.8,98.3
19,Milwaukee Bucks*,82,242.1,36.2,77.8,.466,6.0,16.9,.354,30.3,61.0,.497,20.4,27.3,.747,10.1,30.2,40.3,22.5,7.4,5.0,14.4,23.6,98.8
20,Boston Celtics,82,242.4,35.9,78.8,.456,5.4,15.4,.353,30.5,63.4,.481,22.3,30.0,.743,11.1,28.9,40.0,21.5,8.4,4.9,14.8,22.4,99.5
21,Golden State Warriors,82,241.8,37.2,81.4,.457,5.7,16.3,.351,31.4,65.1,.483,19.8,26.7,.743,12.0,32.5,44.5,22.3,7.0,5.0,15.3,23.4,99.8
22,Washington Wizards*,82,241.8,36.8,79.0,.465,6.1,16.8,.363,30.6,62.2,.493,20.2,27.1,.745,11.8,30.2,42.0,21.5,6.5,4.2,16.2,25.3,99.8
23,Denver Nuggets*,82,243.0,37.4,82.5,.454,6.5,18.0,.358,31.0,64.4,.481,18.8,25.5,.736,11.8,30.1,41.9,23.9,7.1,5.3,16.1,23.3,100.1
24,Charlotte Bobcats,82,242.7,37.4,78.2,.478,5.6,15.7,.356,31.8,62.5,.509,20.5,27.8,.737,11.5,32.5,44.0,22.9,7.0,5.4,17.9,23.5,100.9
25,Philadelphia 76ers,82,242.7,37.8,81.7,.463,6.1,17.3,.351,31.7,64.4,.493,19.6,25.7,.762,11.9,30.9,42.8,23.0,7.7,4.7,15.5,23.1,101.3
26,New York Knicks,82,243.0,36.2,77.5,.467,6.9,18.2,.378,29.3,59.3,.494,22.8,30.2,.753,10.8,27.8,38.6,21.3,8.2,5.3,14.1,25.4,102.0
27,Atlanta Hawks,82,242.4,37.5,78.5,.478,5.4,14.7,.368,32.1,63.8,.503,21.6,28.9,.745,12.0,28.5,40.4,20.6,7.3,5.1,15.0,22.6,102.0
28,Phoenix Suns*,82,243.4,39.5,87.1,.454,6.3,17.4,.363,33.3,69.7,.477,17.4,23.9,.731,12.5,33.4,45.9,18.9,7.2,3.4,14.9,19.8,102.8
29,Toronto Raptors,82,243.4,38.6,78.6,.491,6.2,16.6,.373,32.4,62.0,.522,20.7,27.6,.748,10.2,31.0,41.1,23.6,6.3,4.4,14.2,22.4,104.0
30,Seattle SuperSonics,82,241.8,39.0,80.4,.485,6.6,17.6,.375,32.4,62.8,.516,20.9,27.5,.760,12.2,28.2,40.5,24.1,7.3,4.9,14.6,22.2,105.6
,League Average,82,242.1,35.8,79.0,.454,5.7,16.0,.358,30.1,63.0,.478,19.6,26.3,.745,11.2,29.8,41.0,20.6,7.2,4.7,14.4,22.8,97.0
