,,,,,Voting,Voting,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
3rd,F,Kevin Garnett,30,MIN,225,645,0.349,5,,,76,39.4,22.4,12.8,4.1,1.2,1.7,.476,.214,.835,10.7,.171,garneke01
3rd,F,Carmelo Anthony,22,DEN,142,645,0.22,1,,,65,38.2,28.9,6.0,3.8,1.2,0.4,.476,.268,.808,7.3,.140,anthoca01
3rd,C,Dwight Howard,21,ORL,108,645,0.167,1,,,82,36.9,17.6,12.3,1.9,0.9,1.9,.603,.500,.586,9.7,.154,howardw01
3rd,G,Chauncey Billups,30,DET,86,645,0.133,0,,,70,36.2,17.0,3.4,7.2,1.2,0.2,.427,.345,.883,11.4,.216,billuch01
ORV,F,Carlos Boozer,25,UTA,127,645,0.197,0,,,74,34.6,20.9,11.7,3.0,0.9,0.3,.561,,.685,9.9,.185,boozeca01
ORV,C,Shaquille O'Neal,34,MIA,70,645,0.109,3,,,40,28.4,17.3,7.4,2.0,0.2,1.4,.591,,.422,2.8,.119,onealsh01
ORV,G,Jason Kidd,33,NJN,58,645,0.09,0,,,80,36.7,13.0,8.2,9.2,1.6,0.3,.406,.343,.778,9.3,.152,kiddja01
ORV,C,Marcus Camby,32,DEN,42,645,0.065,2,,,70,33.8,11.2,11.7,3.2,1.2,3.3,.473,.000,.729,7.6,.155,cambyma01
ORV,F,Shawn Marion,28,PHO,41,645,0.064,0,,,80,37.6,17.5,9.8,1.7,2.0,1.5,.524,.317,.810,12.0,.191,mariosh01
ORV,G,Allen Iverson,31,TOT,39,645,0.06,0,,,65,42.5,26.3,3.0,7.2,1.9,0.2,.442,.315,.795,6.2,.108,iversal01
ORV,G,Tony Parker,24,SAS,39,645,0.06,0,,,77,32.5,18.6,3.2,5.5,1.1,0.1,.520,.395,.783,9.6,.185,parketo01
ORV,F,Vince Carter,30,NJN,15,645,0.023,0,,,82,38.1,25.2,6.0,4.8,1.0,0.4,.454,.357,.802,10.5,.161,cartevi01
ORV,G,Deron Williams,22,UTA,15,645,0.023,0,,,80,36.9,16.2,3.3,9.3,1.0,0.2,.456,.322,.767,7.2,.117,willide01
ORV,F,Josh Howard,26,DAL,11,645,0.017,0,,,70,35.1,18.9,6.8,1.8,1.2,0.8,.459,.385,.827,8.8,.173,howarjo01
ORV,F,Elton Brand,27,LAC,8,645,0.012,0,,,80,38.5,20.5,9.3,2.9,1.0,2.2,.533,1.000,.761,11.5,.180,brandel01
ORV,F,Mehmet Okur,27,UTA,7,645,0.011,0,,,80,33.3,17.6,7.2,2.0,0.5,0.5,.462,.384,.765,8.8,.158,okurme01
ORV,G,Baron Davis,27,GSW,6,645,0.009,0,,,63,35.3,20.1,4.4,8.1,2.1,0.5,.439,.304,.745,6.4,.139,davisba01
ORV,G,Michael Redd,27,MIL,6,645,0.009,0,,,53,38.4,26.7,3.7,2.3,1.2,0.2,.465,.382,.829,6.1,.145,reddmi01
ORV,G,Ray Allen,31,SEA,5,645,0.008,0,,,55,40.3,26.4,4.5,4.1,1.5,0.2,.438,.372,.903,6.3,.136,allenra02
ORV,G,Richard Hamilton,28,DET,4,645,0.006,0,,,75,36.8,19.8,3.8,3.8,0.8,0.2,.468,.341,.861,8.1,.141,hamilri01
ORV,G,Ben Gordon,23,CHI,3,645,0.005,0,,,82,33.0,21.4,3.1,3.6,0.8,0.2,.455,.413,.864,8.6,.152,gordobe01
ORV,G,Joe Johnson,25,ATL,3,645,0.005,0,,,57,41.4,25.0,4.2,4.4,1.1,0.2,.471,.381,.748,5.1,.105,johnsjo02
ORV,G,Chris Paul,21,NOK,3,645,0.005,0,,,64,36.8,17.3,4.4,8.9,1.8,0.0,.437,.350,.818,8.8,.179,paulch01
ORV,C,Eddy Curry,24,NYK,2,645,0.003,0,0,2,81,35.2,19.5,7.0,0.8,0.4,0.5,.576,1.000,.615,4.7,.079,curryed01
ORV,F,Paul Pierce,29,BOS,2,645,0.003,0,0,2,47,37.0,25.0,5.9,4.1,1.0,0.3,.439,.389,.796,5.4,.148,piercpa01
ORV,G,Jason Terry,29,DAL,2,645,0.003,0,0,2,81,35.1,16.7,2.9,5.2,1.0,0.2,.484,.438,.804,10.8,.182,terryja01
ORV,C,Ben Wallace,32,CHI,2,645,0.003,0,0,2,77,35.0,6.4,10.7,2.4,1.4,2.0,.453,.200,.408,8.2,.146,wallabe01
ORV,C,Tyson Chandler,24,NOK,1,645,0.002,0,0,1,73,34.6,9.5,12.4,0.9,0.5,1.8,.624,.000,.527,7.9,.150,chandty01
ORV,F,Luol Deng,21,CHI,1,645,0.002,0,0,1,82,37.5,18.8,7.1,2.5,1.2,0.6,.517,.143,.777,11.3,.176,denglu01
ORV,C,Pau Gasol,26,MEM,1,645,0.002,0,0,1,59,36.2,20.8,9.8,3.4,0.5,2.1,.538,.273,.748,6.9,.155,gasolpa01
ORV,G,Manu Ginóbili,29,SAS,1,645,0.002,0,0,1,75,27.5,16.5,4.4,3.5,1.5,0.4,.464,.396,.860,10.6,.246,ginobma01
ORV,C,Jermaine O'Neal,28,IND,1,645,0.002,0,0,1,69,35.6,19.4,9.6,2.4,0.7,2.6,.436,.000,.767,4.7,.091,onealje01
ORV,F,Chris Webber,33,TOT,1,645,0.002,0,0,1,61,29.9,11.2,7.2,3.1,1.0,0.7,.452,.364,.638,3.4,.090,webbech01
