,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,-additional
Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK,-9999
42,Jaxson Hayes,Oct 28 '19 NOP vs. GSW,19,5,293,4639,763,1213,30,112,446,628,388,1094,192,130,188,200,566,2002,.629,.268,.710,15.8,6.8,3.7,0.7,0.4,0.6,hayesja02
43,Dewan Hernandez,Nov 18 '19 TOR vs. CHO,23,1,6,28,5,14,1,2,3,5,5,14,3,1,0,3,6,14,.357,.500,.600,4.7,2.3,2.3,0.5,0.2,0.0,hernade01
44,Tyler Herro,Oct 23 '19 MIA vs. MEM,20,5,278,8840,1848,4209,718,1864,607,697,118,1372,1006,193,53,597,394,5021,.439,.385,.871,31.8,18.1,4.9,3.6,0.7,0.2,herroty01
45,Kevin Hervey,Dec 26 '19 OKC vs. MEM,23,1,10,52,7,27,3,20,0,0,1,12,5,1,1,0,4,17,.259,.150,,5.2,1.7,1.2,0.5,0.1,0.1,herveke01
46,Jaylen Hoard,Nov 10 '19 POR vs. ATL,20,3,39,663,103,210,9,39,42,68,65,181,45,24,10,29,45,257,.490,.231,.618,17.0,6.6,4.6,1.2,0.6,0.3,hoardja01
47,Talen Horton-Tucker,Dec 8 '19 LAL vs. MIN,19,5,235,4980,862,2023,191,660,398,514,125,679,740,207,93,373,466,2313,.426,.289,.774,21.2,9.8,2.9,3.1,0.9,0.4,hortota01
48,William Howard,Feb 7 '20 HOU @ PHO,26,1,2,13,0,4,0,4,0,0,0,2,1,0,0,1,1,0,.000,.000,,6.5,0.0,1.0,0.5,0.0,0.0,howarwi01
49,De'Andre Hunter,Oct 24 '19 ATL @ DET,22,5,242,7417,1215,2709,384,1047,595,731,155,994,364,161,80,332,694,3409,.449,.367,.814,30.6,14.1,4.1,1.5,0.7,0.3,huntede01
50,Justin James,Oct 25 '19 SAC vs. POR,23,2,72,542,87,195,23,67,31,57,15,62,40,14,12,23,40,228,.446,.343,.544,7.5,3.2,0.9,0.6,0.2,0.2,jamesju01
51,DaQuan Jeffries,Nov 15 '19 SAC @ LAL,22,4,60,677,76,176,26,93,12,16,22,96,32,19,11,17,70,190,.432,.280,.750,11.3,3.2,1.6,0.5,0.3,0.2,jeffrda01
52,Ty Jerome,Dec 2 '19 PHO @ CHO,22,5,159,2748,410,974,174,495,114,138,44,294,411,88,19,133,229,1108,.421,.352,.826,17.3,7.0,1.8,2.6,0.6,0.1,jeromty01
53,Cameron Johnson,Oct 26 '19 PHO vs. LAC,23,5,273,6972,1122,2502,611,1554,362,437,207,1059,454,221,79,204,460,3217,.448,.393,.828,25.5,11.8,3.9,1.7,0.8,0.3,johnsca02
54,Keldon Johnson,Nov 22 '19 SAS @ PHI,20,5,281,8407,1693,3647,466,1305,745,984,317,1553,648,204,69,404,574,4597,.464,.357,.757,29.9,16.4,5.5,2.3,0.7,0.2,johnske04
55,Mfiondu Kabengele,Oct 24 '19 LAC @ GSW,22,3,55,380,49,128,22,73,23,27,18,81,19,12,15,18,48,143,.383,.301,.852,6.9,2.6,1.5,0.3,0.2,0.3,kabenmf01
56,Stanton Kidd,Oct 25 '19 UTA @ LAL,27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,.000,.000,,3.8,0.0,0.8,0.3,0.0,0.0,kiddst01
57,Louis King,Dec 26 '19 DET vs. WAS,20,4,27,280,48,115,20,57,13,20,8,44,25,12,4,8,37,129,.417,.351,.650,10.4,4.8,1.6,0.9,0.4,0.1,kinglo02
58,John Konchar,Nov 9 '19 MEM vs. DAL,23,5,253,4467,438,927,167,465,98,137,261,1019,364,200,103,123,308,1141,.472,.359,.715,17.7,4.5,4.0,1.4,0.8,0.4,konchjo01
59,Romeo Langford,Oct 30 '19 BOS vs. MIL,20,4,141,2268,253,589,55,191,89,135,114,298,97,60,42,67,171,650,.430,.288,.659,16.1,4.6,2.1,0.7,0.4,0.3,langfro01
60,Vic Law,Jan 26 '20 ORL vs. LAC,24,1,8,62,6,18,1,7,2,6,2,11,3,2,0,2,6,15,.333,.143,.333,7.8,1.9,1.4,0.4,0.3,0.0,lawvi01
61,Jalen Lecque,Jan 16 '20 PHO @ NYK,19,2,9,44,5,19,0,5,5,5,2,7,4,0,0,2,3,15,.263,.000,1.000,4.9,1.7,0.8,0.4,0.0,0.0,lecquja01
62,Nassir Little,Oct 25 '19 POR @ SAC,19,5,226,3703,471,1043,170,511,183,249,162,684,168,73,93,122,308,1295,.452,.333,.735,16.4,5.7,3.0,0.7,0.3,0.4,littlna01
63,Terance Mann,Oct 24 '19 LAC @ GSW,23,5,324,7175,989,1989,245,665,365,465,316,1186,648,165,72,256,600,2588,.497,.368,.785,22.1,8.0,3.7,2.0,0.5,0.2,mannte01
64,Caleb Martin,Oct 25 '19 CHO vs. MIN,24,5,245,5743,763,1668,253,692,274,361,252,952,362,209,97,230,432,2053,.457,.366,.759,23.4,8.4,3.9,1.5,0.9,0.4,martica02
65,Cody Martin,Oct 25 '19 CHO vs. MIN,24,5,206,4505,472,1069,125,394,166,255,199,737,475,200,72,191,307,1235,.442,.317,.651,21.9,6.0,3.6,2.3,1.0,0.3,martico01
66,Jeremiah Martin,Jan 31 '20 BRK vs. CHI,23,2,18,174,33,86,8,30,12,19,3,17,22,12,4,10,8,86,.384,.267,.632,9.7,4.8,0.9,1.2,0.7,0.2,martije02
67,Kelan Martin,Oct 25 '19 MIN @ CHO,24,3,96,1267,203,490,71,231,48,54,47,229,61,30,28,50,122,525,.414,.307,.889,13.2,5.5,2.4,0.6,0.3,0.3,martike03
68,Garrison Mathews,Oct 23 '19 WAS @ DAL,23,5,245,4224,427,1069,341,914,316,377,75,431,146,129,41,93,438,1511,.399,.373,.838,17.2,6.2,1.8,0.6,0.5,0.2,mathega01
69,Jalen McDaniels,Oct 25 '19 CHO vs. MIN,22,5,233,4305,605,1332,173,523,242,311,169,792,271,156,81,203,463,1625,.454,.331,.778,18.5,7.0,3.4,1.2,0.7,0.3,mcdanja01
70,Jordan McLaughlin,Nov 6 '19 MIN @ MEM,23,5,223,3437,372,850,134,380,98,135,75,351,709,199,30,166,177,976,.438,.353,.726,15.4,4.4,1.6,3.2,0.9,0.1,mclaujo01
71,Nicolò Melli,Oct 22 '19 NOP @ TOR,29,2,105,1608,182,464,92,291,73,98,67,302,126,48,26,58,182,529,.392,.316,.745,15.3,5.0,2.9,1.2,0.5,0.2,mellini01
72,Eric Mika,Feb 1 '20 SAC vs. LAL,25,1,1,19,2,3,0,0,2,2,2,7,0,0,0,0,5,6,.667,,1.000,19.0,6.0,7.0,0.0,0.0,0.0,mikaer01
73,Adam Mokoka,Dec 28 '19 CHI vs. ATL,21,2,25,168,19,47,7,25,2,5,8,15,9,6,1,7,22,47,.404,.280,.400,6.7,1.9,0.6,0.4,0.2,0.0,mokokad01
74,Matt Mooney,Jan 20 '20 CLE vs. NYK,23,2,5,21,1,5,0,3,0,0,0,3,1,3,1,1,1,2,.200,.000,,4.2,0.4,0.6,0.2,0.6,0.2,moonema01
75,Ja Morant,Oct 23 '19 MEM @ MIA,20,5,257,8282,2103,4455,327,1027,1250,1656,254,1243,1903,254,74,852,402,5783,.472,.318,.755,32.2,22.5,4.8,7.4,1.0,0.3,moranja01
76,Juwan Morgan,Nov 27 '19 UTA @ IND,22,3,52,312,31,59,8,23,6,11,21,61,16,5,3,10,43,76,.525,.348,.545,6.0,1.5,1.2,0.3,0.1,0.1,morgaju01
77,Mychal Mulder,Feb 27 '20 GSW vs. LAL,25,3,84,1209,169,409,118,320,27,38,13,107,39,18,15,29,89,483,.413,.369,.711,14.4,5.8,1.3,0.5,0.2,0.2,muldemy01
78,Malik Newman,Feb 9 '20 CLE vs. LAC,22,2,2,12,3,7,0,2,4,4,0,1,1,0,0,2,0,10,.429,.000,1.000,6.0,5.0,0.5,0.5,0.0,0.0,newmama01
79,Zach Norvell,Oct 25 '19 LAL vs. UTA,22,1,5,41,3,12,3,8,1,1,0,6,3,2,0,3,4,10,.250,.375,1.000,8.2,2.0,1.2,0.6,0.4,0.0,norveza01
80,Jaylen Nowell,Nov 6 '19 MIN @ MEM,20,5,193,3293,659,1481,187,591,213,266,83,415,359,97,28,137,270,1718,.445,.316,.801,17.1,8.9,2.2,1.9,0.5,0.1,nowelja01
81,Kendrick Nunn,Oct 23 '19 MIA vs. MEM,24,3,193,4576,911,2022,338,934,176,201,57,468,458,136,36,260,326,2336,.451,.362,.876,23.7,12.1,2.4,2.4,0.7,0.2,nunnke01
82,KZ Okpala,Oct 23 '19 MIA vs. MEM,20,4,98,965,85,208,28,98,24,36,40,148,47,23,26,28,125,222,.409,.286,.667,9.8,2.3,1.5,0.5,0.2,0.3,okpalkz01
83,Miye Oni,Nov 11 '19 UTA @ GSW,22,3,80,672,49,140,38,115,9,12,29,108,37,15,10,21,77,145,.350,.330,.750,8.4,1.8,1.4,0.5,0.2,0.1,onimi01
84,Tariq Owens,Feb 2 '20 PHO @ MIL,24,1,3,15,1,5,0,2,2,2,2,3,0,1,0,0,1,4,.200,.000,1.000,5.0,1.3,1.0,0.0,0.3,0.0,owensta01
85,Eric Paschall,Oct 24 '19 GSW vs. LAC,23,3,158,3085,580,1173,95,291,297,392,140,509,214,53,25,164,244,1552,.494,.326,.758,19.5,9.8,3.2,1.4,0.3,0.2,pascher01
86,Anžejs Pasečņiks,Dec 18 '19 WAS vs. CHI,24,2,28,443,61,117,0,4,34,58,43,108,19,9,12,29,77,156,.521,.000,.586,15.8,5.6,3.9,0.7,0.3,0.4,pasecan01
87,Norvel Pelle,Nov 29 '19 PHI @ NYK,26,3,40,335,36,68,0,1,11,20,29,97,10,4,41,23,70,83,.529,.000,.550,8.4,2.1,2.4,0.3,0.1,1.0,pelleno01
88,Vincent Poirier,Oct 26 '19 BOS @ NYK,26,2,32,169,20,48,1,3,8,13,19,57,10,2,12,12,33,49,.417,.333,.615,5.3,1.5,1.8,0.3,0.1,0.4,poirivi01
89,Shamorie Ponds,Nov 27 '19 TOR vs. NYK,21,1,4,11,3,5,1,2,2,2,0,1,2,0,1,0,2,9,.600,.500,1.000,2.8,2.3,0.3,0.5,0.0,0.3,pondssh01
90,Jordan Poole,Oct 24 '19 GSW vs. LAC,20,5,325,8731,1746,4175,722,2155,958,1094,111,842,1125,250,83,696,793,5172,.418,.335,.876,26.9,15.9,2.6,3.5,0.8,0.3,poolejo01
91,Kevin Porter Jr.,Oct 23 '19 CLE @ ORL,19,4,196,5928,1068,2480,399,1117,473,652,161,842,987,216,61,564,508,3008,.431,.357,.725,30.2,15.3,4.3,5.0,1.1,0.3,porteke02
92,Michael Porter Jr.,Oct 31 '19 DEN @ NOP,21,5,247,6783,1456,2916,595,1446,331,413,312,1533,288,143,154,273,474,3838,.499,.411,.801,27.5,15.5,6.2,1.2,0.6,0.6,portemi01
93,Josh Reaves,Jan 2 '20 DAL vs. BRK,22,1,4,28,3,9,0,2,2,2,1,3,3,0,0,0,5,8,.333,.000,1.000,7.0,2.0,0.8,0.8,0.0,0.0,reavejo02
94,Cam Reddish,Oct 24 '19 ATL @ DET,20,5,212,5174,699,1750,261,803,369,441,122,604,274,226,77,265,391,2028,.399,.325,.837,24.4,9.6,2.8,1.3,1.1,0.4,reddica01
95,Naz Reid,Dec 8 '19 MIN @ LAL,20,5,307,5734,1232,2468,341,937,427,595,351,1380,322,177,271,341,734,3232,.499,.364,.718,18.7,10.5,4.5,1.0,0.6,0.9,reidna01
96,Justin Robinson,Oct 23 '19 WAS @ DAL,22,3,43,441,40,126,25,80,7,13,6,33,48,12,2,22,39,112,.317,.313,.538,10.3,2.6,0.8,1.1,0.3,0.0,robinju01
97,Isaiah Roby,Jan 29 '20 OKC @ SAC,21,4,151,2858,440,908,94,268,185,274,185,667,216,106,78,188,325,1159,.485,.351,.675,18.9,7.7,4.4,1.4,0.7,0.5,robyis01
98,Luka Šamanić,Mar 6 '20 SAS @ BRK,20,4,73,706,106,254,31,114,46,68,25,157,42,16,17,44,84,289,.417,.272,.676,9.7,4.0,2.2,0.6,0.2,0.2,samanlu01
99,Admiral Schofield,Oct 23 '19 WAS @ DAL,22,4,122,1340,150,359,72,224,43,55,49,207,76,20,14,48,176,415,.418,.321,.782,11.0,3.4,1.7,0.6,0.2,0.1,schofad01
100,Marial Shayok,Feb 6 '20 PHI @ MIL,24,1,4,28,3,12,2,6,3,4,1,7,1,0,1,3,4,11,.250,.333,.750,7.0,2.8,1.8,0.3,0.0,0.3,shayoma01
101,Chris Silva,Oct 23 '19 MIA vs. MEM,23,4,70,532,67,110,1,4,58,82,80,189,36,10,28,51,131,193,.609,.250,.707,7.6,2.8,2.7,0.5,0.1,0.4,silvach01
102,Alen Smailagić,Dec 27 '19 GSW vs. PHO,19,2,29,223,31,67,7,23,18,25,16,43,17,6,9,16,25,87,.463,.304,.720,7.7,3.0,1.5,0.6,0.2,0.3,smailal01
103,Max Strus,Nov 22 '19 CHI vs. MIA,23,5,249,6304,923,2182,572,1577,199,246,132,786,517,134,58,226,479,2617,.423,.363,.809,25.3,10.5,3.2,2.1,0.5,0.2,strusma01
104,Matt Thomas,Oct 26 '19 TOR @ CHI,25,3,126,1225,178,411,109,270,37,46,19,155,61,22,4,38,74,502,.433,.404,.804,9.7,4.0,1.2,0.5,0.2,0.0,thomama02
105,Matisse Thybulle,Oct 23 '19 PHI vs. BOS,22,5,324,6793,581,1340,267,799,105,154,180,634,343,498,263,180,622,1534,.434,.334,.682,21.0,4.7,2.0,1.1,1.5,0.8,thybuma01
106,Juan Toscano-Anderson,Feb 8 '20 GSW vs. LAL,26,5,202,3126,332,662,82,249,84,130,98,600,372,119,59,181,347,830,.502,.329,.646,15.5,4.1,3.0,1.8,0.6,0.3,toscaju01
107,Rayjon Tucker,Dec 30 '19 UTA vs. DET,22,3,39,300,35,70,9,29,38,49,7,39,21,7,1,13,23,117,.500,.310,.776,7.7,3.0,1.0,0.5,0.2,0.0,tuckera01
108,Gabe Vincent,Jan 27 '20 MIA vs. ORL,23,5,200,4213,550,1382,290,866,133,157,61,337,465,156,19,227,409,1523,.398,.335,.847,21.1,7.6,1.7,2.3,0.8,0.1,vincega01
109,Dean Wade,Nov 18 '19 CLE @ NYK,23,5,221,4178,400,929,248,671,82,114,126,736,205,132,77,86,353,1130,.431,.370,.719,18.9,5.1,3.3,0.9,0.6,0.3,wadede01
110,P.J. Washington,Oct 23 '19 CHO vs. CHI,21,5,313,9434,1521,3387,550,1543,458,645,369,1708,715,289,302,493,806,4050,.449,.356,.710,30.1,12.9,5.5,2.3,0.9,1.0,washipj01
111,Tremont Waters,Nov 25 '19 BOS vs. SAC,22,3,40,407,52,147,21,71,24,25,5,37,85,30,3,46,34,149,.354,.296,.960,10.2,3.7,0.9,2.1,0.8,0.1,watertr01
112,Paul Watson,Jan 8 '20 ATL vs. HOU,25,3,46,540,60,143,40,102,13,19,9,89,33,13,7,16,51,173,.420,.392,.684,11.7,3.8,1.9,0.7,0.3,0.2,watsopa01
113,Quinndary Weatherspoon,Feb 8 '20 SAS @ SAC,23,3,42,272,33,73,3,16,19,23,6,32,24,12,4,18,41,88,.452,.188,.826,6.5,2.1,0.8,0.6,0.3,0.1,weathqu01
114,Coby White,Oct 23 '19 CHI @ CHO,19,5,330,9476,1653,3865,732,1972,545,643,123,1198,1206,213,52,543,698,4583,.428,.371,.848,28.7,13.9,3.6,3.7,0.6,0.2,whiteco01
115,Grant Williams,Oct 23 '19 BOS @ PHI,21,5,345,7636,796,1781,390,1033,316,410,321,1220,444,170,180,322,867,2298,.447,.378,.771,22.1,6.7,3.5,1.3,0.5,0.5,willigr01
116,Nigel Williams-Goss,Oct 25 '19 UTA @ LAL,25,1,10,50,5,16,2,7,2,2,2,6,6,3,1,3,6,14,.313,.286,1.000,5.0,1.4,0.6,0.6,0.3,0.1,willini01
117,Zion Williamson,Jan 22 '20 NOP vs. SAS,19,4,164,5180,1566,2626,28,80,888,1288,376,1066,664,149,90,455,358,4048,.596,.350,.689,31.6,24.7,6.5,4.0,0.9,0.5,willizi01
118,Justin Wright-Foreman,Feb 21 '20 UTA vs. SAS,22,1,4,45,7,20,2,10,3,4,0,5,7,2,0,3,5,19,.350,.200,.750,11.3,4.8,1.3,1.8,0.5,0.0,wrighju02
