,,,,,Totals,Totals,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.,-additional
Rk,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd,-9999
171,Terry Rozier,PG,24,BOS,9,162,100%,,,,,2.2,7.7,4,2,7,1,6,5,43,1,1,roziete01
172,Ricky Rubio,PG,28,UTA,5,168,100%,,,,,-0.9,26.5,10,1,4,0,7,1,101,0,4,rubiori01
173,D'Angelo Russell,PG,22,BRK,5,148,99%,1%,,,,-26.8,-42.5,9,3,5,1,7,0,43,3,3,russeda01
174,Domantas Sabonis,C,22,IND,4,96,,,,33%,68%,-17.8,-22.6,4,0,2,1,6,0,39,0,1,sabondo01
175,Dennis Schröder,PG,25,OKC,5,151,100%,,,,,-8.7,-5.5,4,2,3,0,8,4,42,0,2,schrode01
176,Mike Scott,PF,30,PHI,10,193,,,57%,43%,1%,1.6,-1.4,4,1,10,1,1,0,12,0,0,scottmi01
177,Thabo Sefolosha,SF,34,UTA,4,42,,10%,51%,39%,,-12.9,-4.5,0,1,1,0,0,1,6,0,1,sefolth01
178,Landry Shamet,SG,21,LAC,6,174,,10%,90%,,,1.9,27.2,2,3,8,1,2,3,25,0,5,shamela01
179,Iman Shumpert,SG,28,HOU,8,109,,15%,47%,38%,,5.5,2.6,2,0,2,1,2,1,5,0,1,shumpim01
180,Pascal Siakam,PF,24,TOR,24,891,,,4%,95%,,5.4,-1.0,14,10,31,4,36,1,167,7,28,siakapa01
181,Ben Simmons,PG,22,PHI,12,421,98%,2%,,,,4.4,7.0,15,11,21,1,15,6,170,6,6,simmobe01
182,Jonathon Simmons,SF,29,PHI,7,52,,43%,58%,,,-45.7,-53.4,2,3,2,0,2,0,6,0,3,simmojo02
183,Anfernee Simons,SG,19,POR,5,12,31%,70%,,,,-41.7,-40.6,0,0,0,0,0,0,0,0,0,simonan01
184,Marcus Smart,SG,24,BOS,2,32,13%,77%,10%,,,-22.1,-21.1,2,1,1,0,3,1,9,0,0,smartma01
185,Ish Smith,PG,30,DET,4,81,100%,,,,,-24.4,0.1,3,1,4,0,2,0,35,0,1,smithis01
186,Zhaire Smith,SG,19,PHI,2,5,,100%,,,,91.7,90.1,0,0,0,0,0,0,0,0,0,smithzh01
187,Tony Snell,SF,27,MIL,9,28,,20%,50%,24%,6%,-23.5,-34.4,0,0,1,0,0,0,0,0,1,snellto01
188,Edmond Sumner,PG,23,IND,1,2,,100%,,,,166.7,174.3,0,0,0,0,0,0,0,0,0,sumneed01
189,Jayson Tatum,SF,20,BOS,9,295,,28%,66%,6%,,-1.5,3.8,8,4,13,2,13,0,42,3,9,tatumja01
