Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
334,Brandon Miller,SF,21,CHO,60,54,32.1,6.3,14.5,.436,2.4,6.4,.368,4.0,8.2,.489,.517,1.8,2.2,.817,0.9,3.4,4.2,2.4,1.0,0.6,1.7,2.6,16.8,millebr02
335,Jordan Miller,SF,24,LAC,7,0,3.7,0.7,1.3,.556,0.1,0.3,.500,0.6,1.0,.571,.611,0.3,0.3,1.000,0.4,0.3,0.7,0.0,0.0,0.0,0.1,0.3,1.9,millejo02
336,Leonard Miller,SF,20,MIN,8,0,3.5,0.9,1.4,.636,0.1,0.4,.333,0.8,1.0,.750,.682,0.0,0.0,,0.3,1.3,1.5,0.4,0.1,0.1,0.1,0.5,1.9,millele01
337,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,whiteda01
338,Patty Mills,PG,35,TOT,23,0,11.3,1.2,3.3,.373,0.7,2.1,.354,0.5,1.2,.407,.487,0.0,0.0,,0.2,1.0,1.2,0.8,0.5,0.0,0.5,0.9,3.2,millspa02
338,Patty Mills,PG,35,ATL,19,0,10.6,1.0,2.7,.373,0.7,1.8,.382,0.3,0.9,.353,.500,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,millspa02
338,Patty Mills,PG,35,MIA,4,0,14.8,2.3,6.0,.375,1.0,3.5,.286,1.3,2.5,.500,.458,0.0,0.0,,0.0,1.8,1.8,1.3,0.8,0.0,1.0,1.0,5.5,millspa02
339,Shake Milton,SG,27,TOT,44,0,12.7,1.7,4.3,.399,0.4,1.4,.270,1.3,2.8,.464,.444,0.9,1.1,.816,0.3,1.3,1.6,1.3,0.4,0.1,0.7,1.1,4.7,miltosh01
339,Shake Milton,SG,27,MIN,38,0,12.9,1.7,4.2,.400,0.4,1.4,.264,1.3,2.8,.467,.444,0.9,1.2,.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,miltosh01
339,Shake Milton,SG,27,DET,4,0,15.8,2.8,6.5,.423,0.8,2.3,.333,2.0,4.3,.471,.481,0.5,0.8,.667,1.8,2.8,4.5,1.5,0.5,0.3,0.8,0.8,6.8,miltosh01
339,Shake Milton,SG,27,NYK,2,0,2.5,0.0,1.0,.000,0.0,0.5,.000,0.0,0.5,.000,.000,1.0,1.0,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,miltosh01
340,Justin Minaya,SF,24,POR,23,0,8.3,0.4,1.5,.257,0.2,1.0,.217,0.2,0.5,.333,.329,0.2,0.3,.500,0.5,0.6,1.1,0.4,0.3,0.2,0.3,0.6,1.2,minayju01
341,Josh Minott,SF,21,MIN,23,0,2.9,0.4,1.1,.400,0.0,0.3,.143,0.4,0.8,.500,.420,0.5,0.6,.857,0.1,0.4,0.6,0.2,0.1,0.2,0.1,0.3,1.4,minotjo01
342,Davion Mitchell,PG,25,SAC,55,4,13.7,1.7,3.8,.452,0.7,2.0,.333,1.1,1.9,.578,.538,0.4,0.5,.741,0.2,0.9,1.1,1.7,0.2,0.1,0.6,1.2,4.5,mitchda01
343,Donovan Mitchell,SG,27,CLE,48,48,35.5,9.6,20.4,.470,3.4,9.1,.373,6.2,11.3,.548,.553,5.2,6.0,.861,0.9,4.5,5.4,6.1,1.8,0.5,2.9,2.3,27.7,mitchdo01
344,Evan Mobley,PF,22,CLE,38,38,31.1,6.5,11.2,.578,0.3,0.9,.314,6.2,10.3,.602,.591,2.3,3.3,.704,2.4,7.8,10.2,3.1,0.9,1.6,1.9,2.8,15.6,mobleev01
345,Isaiah Mobley,PF,24,CLE,6,0,8.5,0.8,2.2,.385,0.3,1.2,.286,0.5,1.0,.500,.462,0.0,0.0,,0.0,1.0,1.0,1.0,0.2,0.0,0.2,0.8,2.0,mobleis01
346,Malik Monk,SG,25,SAC,64,0,26.2,5.6,12.5,.449,2.2,6.0,.370,3.4,6.5,.522,.538,2.3,2.8,.811,0.4,2.6,3.0,5.3,0.6,0.6,2.1,2.1,15.7,monkma01
347,Moses Moody,SG,21,GSW,51,8,17.8,3.0,6.6,.457,1.0,3.1,.327,2.0,3.5,.570,.533,1.1,1.4,.789,1.1,2.1,3.2,0.7,0.7,0.5,0.7,1.3,8.1,moodymo01
348,Xavier Moon,SG,29,LAC,4,0,4.5,0.5,0.8,.667,0.0,0.3,.000,0.5,0.5,1.000,.667,0.0,0.0,,0.0,0.5,0.5,0.8,0.0,0.0,0.5,0.3,1.0,moonxa01
349,Taze Moore,SG,25,POR,3,0,3.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,2.0,mooreta02
350,Wendell Moore Jr.,SG,22,MIN,16,0,3.0,0.3,0.6,.500,0.0,0.3,.000,0.3,0.4,.833,.500,0.0,0.0,,0.0,0.4,0.4,0.1,0.3,0.1,0.2,0.3,0.6,moorewe01
