,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
10,Indiana Pacers*,82,19805,.435,12.1,,.797,.288,.156,.157,.196,.203,,.457,.589,.366,.368,.407,.351,,.600,.871,,.052,301,,.215,668,,.330,.383,,8,0
11,Los Angeles Clippers,82,19805,.428,11.0,,.844,.341,.155,.130,.218,.156,,.448,.574,.398,.341,.351,.321,,.550,.866,,.046,283,,.263,879,,.135,.312,,11,0
12,Los Angeles Lakers*,82,19855,.454,11.5,,.833,.326,.143,.126,.238,.167,,.479,.632,.392,.369,.379,.327,,.608,.901,,.054,333,,.250,959,,.239,.322,,16,1
13,Memphis Grizzlies*,82,19880,.445,11.1,,.803,.342,.170,.101,.190,.197,,.471,.596,.393,.346,.381,.340,,.609,.857,,.065,384,,.252,899,,.277,.330,,20,2
14,Miami Heat*,82,19755,.425,12.3,,.789,.297,.143,.117,.231,.211,,.443,.562,.394,.323,.382,.357,,.505,.889,,.038,211,,.232,758,,.228,.427,,19,0
15,Milwaukee Bucks*,82,19780,.447,11.2,,.828,.320,.152,.176,.179,.172,,.467,.578,.424,.384,.385,.350,,.588,.903,,.054,325,,.245,835,,.261,.328,,9,0
16,Minnesota Timberwolves*,82,19755,.462,13.0,,.863,.206,.147,.210,.301,.137,,.477,.620,.440,.431,.429,.363,,.591,.890,,.030,191,,.153,564,,.259,.397,,13,0
17,New Jersey Nets*,82,19705,.441,11.9,,.824,.332,.111,.113,.268,.176,,.464,.609,.342,.357,.381,.336,,.687,.889,,.067,394,,.230,785,,.185,.409,,16,2
18,New Orleans Hornets*,82,19830,.420,12.8,,.748,.294,.115,.131,.209,.252,,.454,.568,.363,.377,.391,.319,,.591,.738,,.044,263,,.229,770,,.232,.331,,12,1
19,New York Knicks*,82,19880,.442,12.2,,.829,.259,.156,.177,.237,.171,,.459,.568,.419,.418,.395,.364,,.548,.835,,.022,134,,.213,725,,.271,.384,,12,0
20,Orlando Magic,82,19830,.429,12.8,,.816,.260,.138,.145,.273,.184,,.448,.551,.402,.395,.403,.344,,.504,.786,,.036,219,,.197,657,,.190,.376,,4,0
21,Philadelphia 76ers,82,19855,.428,11.3,,.842,.319,.132,.174,.216,.158,,.445,.562,.370,.360,.385,.342,,.567,.920,,.043,239,,.252,769,,.316,.383,,7,0
22,Phoenix Suns,82,19730,.443,11.4,,.820,.327,.137,.146,.210,.180,,.465,.587,.441,.350,.371,.345,,.482,.870,,.057,343,,.247,860,,.337,.407,,14,0
23,Portland Trail Blazers,82,19980,.448,11.5,,.830,.300,.171,.141,.218,.170,,.469,.597,.410,.415,.375,.346,,.571,.866,,.055,339,,.219,722,,.188,.362,,10,0
24,Sacramento Kings*,82,19780,.462,13.0,,.777,.277,.128,.089,.284,.223,,.480,.636,.340,.383,.421,.401,,.653,.862,,.035,220,,.226,908,,.307,.422,,12,0
25,San Antonio Spurs*,82,19755,.442,11.6,,.823,.282,.197,.144,.200,.177,,.460,.623,.373,.383,.371,.358,,.543,.868,,.039,228,,.234,856,,.363,.394,,12,0
26,Seattle SuperSonics,82,19805,.446,13.5,,.706,.245,.158,.121,.182,.294,,.476,.655,.377,.389,.380,.373,,.519,.876,,.052,305,,.179,698,,.272,.408,,19,0
27,Toronto Raptors,82,19980,.418,13.1,,.796,.252,.123,.155,.267,.204,,.434,.575,.398,.346,.368,.356,,.519,.944,,.041,238,,.177,553,,.451,.405,,8,0
28,Utah Jazz,82,19780,.436,11.5,,.873,.357,.085,.104,.327,.127,,.453,.555,.353,.357,.397,.321,,.598,.845,,.041,232,,.284,889,,.229,.361,,8,0
29,Washington Wizards,82,19830,.421,11.9,,.806,.290,.180,.123,.213,.194,,.440,.618,.317,.340,.358,.341,,.511,.808,,.053,325,,.225,806,,.214,.371,,4,0
,League Average,82,19825,.439,12.0,,.813,.297,.147,.141,.229,.187,,.460,.592,.382,.377,.388,.347,,.565,.857,,.047,280,,.226,782,,.261,.378,,11.6,0.3
