,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner,,Heaves,Heaves
13,Los Angeles Clippers,66,15865,.492,14.1,,.614,.232,.203,.118,.061,.386,,.558,.716,.475,.466,.410,.388,,.545,.737,,.071,349,,.249,807,,.247,.420,,7,0
14,Los Angeles Lakers,67,16205,.498,13.2,,.648,.260,.222,.097,.069,.352,,.564,.759,.454,.433,.366,.377,,.593,.817,,.077,414,,.296,1029,,.248,.387,,11,0
15,Memphis Grizzlies,67,16155,.437,14.4,,.562,.236,.221,.068,.038,.438,,.508,.660,.396,.421,.376,.347,,.526,.880,,.042,219,,.251,810,,.250,.351,,16,0
16,Miami Heat,66,15865,.465,14.1,,.615,.194,.249,.118,.054,.385,,.524,.677,.485,.407,.401,.371,,.536,.898,,.050,247,,.250,792,,.272,.389,,10,0
17,Milwaukee Bucks,67,16155,.490,14.9,,.569,.241,.170,.087,.071,.431,,.577,.763,.441,.439,.445,.374,,.498,.839,,.059,319,,.264,963,,.257,.417,,10,0
18,Minnesota Timberwolves,66,15965,.485,13.3,,.622,.259,.228,.087,.048,.378,,.545,.712,.438,.419,.381,.385,,.542,.863,,.077,385,,.273,867,,.282,.410,,16,1
19,New Orleans Pelicans,66,15865,.488,13.5,,.631,.264,.207,.100,.061,.369,,.550,.694,.445,.466,.419,.381,,.525,.896,,.055,287,,.297,968,,.270,.441,,19,1
20,New York Knicks,66,15840,.461,13.9,,.596,.254,.193,.102,.047,.404,,.528,.660,.441,.425,.392,.363,,.465,.836,,.051,259,,.259,828,,.266,.414,,4,0
21,Oklahoma City Thunder,66,15940,.500,13.7,,.618,.253,.193,.119,.053,.382,,.565,.701,.466,.495,.435,.395,,.478,.890,,.056,293,,.287,984,,.251,.422,,4,0
22,Orlando Magic,67,16180,.476,13.2,,.636,.272,.220,.092,.052,.364,,.546,.718,.437,.403,.357,.354,,.505,.879,,.073,373,,.312,1018,,.248,.363,,14,0
23,Philadelphia 76ers,66,15890,.466,13.5,,.639,.266,.207,.102,.064,.361,,.526,.668,.403,.470,.427,.358,,.501,.825,,.048,249,,.299,964,,.204,.400,,6,0
24,Phoenix Suns,67,16180,.492,14.2,,.630,.227,.186,.134,.083,.370,,.562,.711,.465,.502,.468,.375,,.533,.860,,.059,299,,.239,796,,.249,.401,,1,0
25,Portland Trail Blazers,66,16040,.441,13.6,,.628,.250,.210,.098,.069,.372,,.493,.623,.396,.420,.422,.353,,.470,.844,,.048,231,,.297,906,,.241,.374,,9,0
26,Sacramento Kings,65,15750,.486,14.6,,.572,.213,.219,.096,.044,.428,,.572,.711,.529,.457,.368,.370,,.538,.882,,.055,288,,.271,968,,.239,.403,,6,0
27,San Antonio Spurs,67,16130,.463,13.9,,.604,.247,.210,.092,.055,.396,,.536,.698,.448,.428,.329,.351,,.621,.914,,.064,343,,.266,924,,.228,.385,,12,0
28,Toronto Raptors,67,16205,.475,13.2,,.629,.271,.219,.089,.052,.371,,.546,.712,.436,.384,.415,.355,,.595,.907,,.050,273,,.305,1102,,.250,.397,,7,0
29,Utah Jazz,66,15965,.470,13.8,,.592,.217,.275,.069,.032,.408,,.546,.720,.466,.390,.392,.360,,.556,.880,,.073,404,,.280,917,,.271,.391,,16,0
30,Washington Wizards,66,15865,.471,13.7,,.616,.246,.239,.088,.043,.384,,.547,.728,.446,.398,.381,.348,,.578,.845,,.060,326,,.297,1044,,.226,.394,,11,0
,League Average,66,16008,.475,14.0,,.607,.243,.211,.095,.058,.393,,.545,.696,.454,.443,.408,.367,,.537,.844,,.060,315,,.276,924,,.242,.395,,11.4,0.2
