Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
174,Mike Scott,PF,24,ATL,4,0,5.0,1.3,2.5,.500,0.0,0.3,.000,1.3,2.3,.556,.500,0.8,1.0,.750,0.3,1.5,1.8,0.3,0.0,0.0,0.0,0.5,3.3,scottmi01
175,Thabo Sefolosha,SG,28,OKC,11,11,27.3,1.9,5.5,.344,1.1,3.5,.316,0.8,2.1,.391,.443,0.8,1.0,.818,1.2,3.3,4.5,2.1,1.1,0.5,0.7,2.4,5.7,sefolth01
176,Iman Shumpert,SG,22,NYK,12,12,28.1,3.4,8.3,.410,1.5,3.5,.429,1.9,4.8,.397,.500,1.0,1.2,.857,1.5,4.5,6.0,1.3,1.1,0.3,1.2,3.0,9.3,shumpim01
177,Greg Smith,C,22,HOU,5,1,11.8,1.2,1.8,.667,0.0,0.0,,1.2,1.8,.667,.667,1.2,2.4,.500,1.4,1.2,2.6,0.0,0.4,0.4,0.8,1.8,3.6,smithgr02
178,Ish Smith,PG,24,MIL,4,0,2.8,0.0,0.3,.000,0.0,0.0,,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.8,0.0,0.0,0.3,0.3,0.0,smithis01
179,J.R. Smith,SG,27,NYK,11,0,31.9,4.9,14.8,.331,1.6,6.0,.273,3.3,8.8,.371,.387,2.8,3.9,.721,0.5,4.2,4.7,1.4,1.0,0.5,1.8,2.5,14.3,smithjr01
180,Josh Smith,PF,27,ATL,6,6,33.2,6.5,15.0,.433,0.8,3.3,.250,5.7,11.7,.486,.461,3.2,6.0,.528,1.7,5.8,7.5,3.5,1.8,0.5,2.7,3.5,17.0,smithjo03
181,Tiago Splitter,PF,28,SAS,19,15,20.4,2.4,4.4,.536,0.0,0.1,.000,2.4,4.4,.542,.536,1.4,1.7,.788,1.1,1.9,3.1,1.2,0.8,0.7,1.3,2.4,6.1,splitti01
182,Jerry Stackhouse,SF,38,BRK,4,0,7.0,0.3,2.5,.100,0.0,1.8,.000,0.3,0.8,.333,.100,0.8,1.0,.750,0.3,0.8,1.0,0.0,0.0,0.0,0.5,0.5,1.3,stackje01
183,Lance Stephenson,SG,22,IND,19,19,35.4,3.6,8.9,.408,0.9,3.4,.281,2.7,5.5,.486,.462,1.2,1.9,.622,0.7,6.8,7.6,3.3,1.2,0.1,1.9,2.5,9.4,stephla01
