,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
ORV,G,Kyle Lowry,31,TOR,7,200,0.035,78,32.2,16.2,5.6,6.9,1.1,0.2,.427,.399,.854,10.2,.194,3.1,0.5,107,lowryky01
ORV,G,Russell Westbrook,29,OKC,7,200,0.035,80,36.4,25.4,10.1,10.3,1.8,0.3,.449,.298,.737,10.1,.166,4.5,1.5,104,westbru01
ORV,G,Danny Green,30,SAS,6,200,0.030,70,25.6,8.6,3.6,1.6,0.9,1.1,.387,.363,.769,2.9,.078,2.9,1.4,104,greenda02
ORV,F,Luc Mbah a Moute,31,HOU,5,200,0.025,61,25.6,7.5,3.0,0.9,1.2,0.4,.481,.364,.684,2.8,.087,2.1,1.4,106,mbahalu01
ORV,G,Ricky Rubio,27,UTA,4,200,0.020,77,29.3,13.1,4.6,5.3,1.6,0.1,.418,.352,.866,5.3,.112,3.8,1.5,103,rubiori01
ORV,C,Andre Drummond,24,DET,3,200,0.015,78,33.7,15.0,16.0,3.0,1.5,1.6,.529,.000,.605,10.3,.189,5.7,1.7,99,drumman01
ORV,G,Gary Harris,23,DEN,3,200,0.015,67,34.4,17.5,2.6,2.9,1.8,0.2,.485,.396,.827,5.5,.114,1.5,-0.2,112,harriga01
ORV,F,LaMarcus Aldridge,32,SAS,2,200,0.010,75,33.5,23.1,8.5,2.0,0.6,1.2,.510,.293,.837,10.9,.209,3.5,-0.4,105,aldrila01
ORV,F,Al-Farouq Aminu,27,POR,2,200,0.010,69,30.0,9.3,7.6,1.2,1.1,0.6,.395,.369,.738,4.2,.097,3.2,1.1,104,aminual01
ORV,G,Avery Bradley,27,TOT,2,200,0.010,46,31.2,14.3,2.5,2.0,1.1,0.2,.414,.369,.768,-0.2,-0.007,1.2,-1.0,110,bradlav01
ORV,C,Steven Adams,24,OKC,1,200,0.005,76,32.7,13.9,9.0,1.2,1.2,1.0,.629,.000,.559,9.7,.187,3.0,-0.6,107,adamsst01
ORV,G,Will Barton,27,DEN,1,200,0.005,81,33.1,15.7,5.0,4.1,1.0,0.6,.452,.370,.805,6.2,.111,1.8,-0.4,112,bartowi01
ORV,G,Eric Bledsoe,28,TOT,1,200,0.005,74,31.4,17.7,3.8,5.0,2.0,0.6,.473,.347,.795,5.6,.116,2.5,0.3,108,bledser01
ORV,F,Ed Davis,28,POR,1,200,0.005,78,18.9,5.3,7.4,0.5,0.4,0.7,.582,.000,.667,5.0,.164,2.5,0.6,103,davised01
ORV,C,Derrick Favors,26,UTA,1,200,0.005,77,28.0,12.3,7.2,1.3,0.7,1.1,.563,.222,.651,8.0,.179,3.5,0.7,104,favorde01
ORV,F,LeBron James,33,CLE,1,200,0.005,82,36.9,27.5,8.6,9.1,1.4,0.9,.542,.367,.731,14.0,.221,3.0,1.4,109,jamesle01
ORV,C,DeAndre Jordan,29,LAC,1,200,0.005,77,31.5,12.0,15.2,1.5,0.5,0.9,.645,,.580,9.4,.186,3.4,-0.3,105,jordade01
ORV,G,Damian Lillard,27,POR,1,200,0.005,73,36.6,26.9,4.5,6.6,1.1,0.4,.439,.361,.916,12.6,.227,2.7,0.3,109,lillada01
ORV,G,Donovan Mitchell,21,UTA,1,200,0.005,79,33.4,20.5,3.7,3.7,1.5,0.3,.437,.340,.805,5.2,.095,3.8,0.3,105,mitchdo01
ORV,G,Fred VanVleet,23,TOR,1,200,0.005,76,20.0,8.6,2.4,3.2,0.9,0.3,.426,.414,.832,4.7,.149,2.0,1.0,106,vanvlfr01
