,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
ORV,C,Marc Gasol,30,MEM,18,258,0.070,81,33.2,17.4,7.8,3.8,0.9,1.6,.494,.176,.795,10.2,.182,4.7,2.4,100,gasolma01
ORV,G,Danny Green,27,SAS,18,258,0.070,81,28.5,11.7,4.2,2.0,1.2,1.1,.436,.418,.874,7.8,.163,3.9,2.0,100,greenda02
ORV,F,Trevor Ariza,29,HOU,17,258,0.066,82,35.7,12.8,5.6,2.5,1.9,0.2,.402,.350,.853,6.6,.108,3.9,1.1,103,arizatr01
ORV,G,Stephen Curry,26,GSW,14,258,0.054,80,32.7,23.8,4.3,7.7,2.0,0.2,.487,.443,.914,15.7,.288,4.1,1.7,101,curryst01
ORV,F,DeMarre Carroll,28,ATL,11,258,0.043,70,31.3,12.6,5.3,1.7,1.3,0.2,.487,.395,.702,7.0,.154,2.8,0.4,104,carrode01
ORV,G,Patrick Beverley,26,HOU,10,258,0.039,56,30.8,10.1,4.2,3.4,1.1,0.4,.383,.356,.750,3.5,.096,1.8,0.5,106,beverpa01
ORV,F,Khris Middleton,23,MIL,9,258,0.035,79,30.1,13.4,4.4,2.3,1.5,0.1,.467,.407,.859,6.7,.135,3.5,1.1,102,middlkh01
ORV,F,Serge Ibaka,25,OKC,8,258,0.031,64,33.1,14.3,7.8,0.9,0.5,2.4,.476,.376,.836,5.6,.127,2.7,0.4,104,ibakase01
ORV,F,Andre Iguodala,31,GSW,8,258,0.031,77,26.9,7.8,3.3,3.0,1.2,0.3,.466,.349,.596,5.1,.117,2.8,1.4,103,iguodan01
ORV,F,Paul Millsap,29,ATL,8,258,0.031,73,32.7,16.7,7.8,3.1,1.8,0.9,.476,.356,.757,8.3,.166,4.3,1.7,99,millspa01
ORV,G,Jeff Teague,26,ATL,7,258,0.027,73,30.5,15.9,2.5,7.0,1.7,0.4,.460,.343,.862,7.7,.166,2.8,0.3,104,teaguje01
ORV,G,Mike Conley,27,MEM,6,258,0.023,70,31.8,15.8,3.0,5.4,1.3,0.2,.446,.386,.859,6.8,.147,2.7,0.2,104,conlemi01
ORV,C,Joakim Noah,29,CHI,6,258,0.023,67,30.6,7.2,9.6,4.7,0.7,1.1,.445,.000,.603,5.6,.130,3.1,2.0,102,noahjo01
ORV,C,Nerlens Noel,20,PHI,5,258,0.019,75,30.8,9.9,8.1,1.7,1.8,1.9,.462,,.609,4.0,.083,4.2,2.3,99,noelne01
ORV,F,P.J. Tucker,29,PHO,4,258,0.016,78,30.6,9.1,6.4,1.6,1.4,0.3,.438,.345,.727,4.9,.098,2.7,1.0,105,tuckepj01
ORV,F,Giannis Antetokounmpo,20,MIL,3,258,0.012,81,31.4,12.7,6.7,2.6,0.9,1.0,.491,.159,.741,6.2,.117,4.0,1.2,101,antetgi01
ORV,C,Pau Gasol,34,CHI,3,258,0.012,78,34.4,18.5,11.8,2.7,0.3,1.9,.494,.462,.803,10.4,.187,4.4,0.6,101,gasolpa01
ORV,G,Wesley Matthews,28,POR,3,258,0.012,60,33.7,15.9,3.7,2.3,1.3,0.2,.448,.389,.752,6.2,.147,2.2,1.1,105,matthwe02
ORV,G,James Harden,25,HOU,2,258,0.008,81,36.8,27.4,5.7,7.0,1.9,0.7,.440,.375,.868,16.4,.265,4.2,1.8,103,hardeja01
ORV,G,Marcus Smart,20,BOS,2,258,0.008,67,27.0,7.8,3.3,3.1,1.5,0.3,.367,.335,.646,2.9,.077,2.2,1.5,104,smartma01
ORV,C,Hassan Whiteside,25,MIA,2,258,0.008,48,23.8,11.8,10.0,0.1,0.6,2.6,.628,,.500,5.3,.221,2.4,1.6,97,whiteha01
ORV,G,Eric Bledsoe,25,PHO,1,258,0.004,81,34.6,17.0,5.2,6.1,1.6,0.6,.447,.324,.800,7.0,.119,2.9,0.5,106,bledser01
ORV,C,DeMarcus Cousins,24,SAC,1,258,0.004,59,34.1,24.1,12.7,3.6,1.5,1.7,.467,.250,.782,6.0,.144,3.2,1.5,101,couside01
ORV,C,Andre Drummond,21,DET,1,258,0.004,82,30.5,13.8,13.5,0.7,0.9,1.9,.514,.000,.389,7.7,.147,4.3,-0.7,100,drumman01
ORV,G,Manu Ginóbili,37,SAS,1,258,0.004,70,22.7,10.5,3.0,4.2,1.0,0.3,.426,.345,.721,3.7,.111,2.3,0.9,102,ginobma01
ORV,F,Blake Griffin,25,LAC,1,258,0.004,67,35.2,21.9,7.6,5.3,0.9,0.5,.502,.400,.728,9.0,.183,2.4,0.2,106,griffbl01
ORV,G,George Hill,28,IND,1,258,0.004,43,29.5,16.1,4.2,5.1,1.0,0.3,.477,.358,.790,5.4,.203,1.6,1.2,103,hillge01
ORV,C,Al Horford,28,ATL,1,258,0.004,76,30.5,15.2,7.2,3.2,0.9,1.3,.538,.306,.759,8.7,.179,3.6,1.5,102,horfoal01
ORV,G,Victor Oladipo,22,ORL,1,258,0.004,72,35.7,17.9,4.2,4.1,1.7,0.3,.436,.339,.819,3.5,.065,2.0,-0.3,108,oladivi01
ORV,C,Zaza Pachulia,30,MIL,1,258,0.004,73,23.7,8.3,6.8,2.4,1.1,0.3,.454,.000,.788,4.2,.116,2.9,0.8,100,pachuza01
ORV,G,Elfrid Payton,20,ORL,1,258,0.004,82,30.4,8.9,4.3,6.5,1.7,0.2,.425,.262,.551,2.3,.044,2.3,0.3,107,paytoel01
ORV,F,Zach Randolph,33,MEM,1,258,0.004,71,32.5,16.1,10.5,2.2,1.0,0.2,.487,.350,.765,7.2,.149,3.8,-0.1,101,randoza01
ORV,G,Rajon Rondo,28,TOT,1,258,0.004,68,29.7,8.9,5.5,7.9,1.3,0.1,.426,.314,.397,1.6,.037,2.3,0.3,105,rondora01
ORV,G,Iman Shumpert,24,TOT,1,258,0.004,62,24.9,8.0,3.6,2.2,1.3,0.3,.410,.342,.672,1.5,.047,1.4,0.7,107,shumpim01
ORV,G,Dwyane Wade,33,MIA,1,258,0.004,62,31.8,21.5,3.5,4.8,1.2,0.3,.470,.284,.768,3.5,.086,1.4,-1.4,108,wadedw01
