,,,,,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,-additional
ORV,G,Ricky Rubio,26,MIN,3,200,0.015,75,32.9,11.1,4.1,9.1,1.7,0.1,.402,.306,.891,6.1,.119,1.7,-0.2,112,rubiori01
ORV,F,P.J. Tucker,31,TOT,3,200,0.015,81,27.6,6.7,5.8,1.2,1.4,0.2,.413,.357,.774,3.6,.078,2.2,1.2,109,tuckepj01
ORV,F,Trevor Ariza,31,HOU,2,200,0.010,80,34.7,11.7,5.7,2.2,1.8,0.3,.409,.344,.738,6.0,.104,3.2,1.1,108,arizatr01
ORV,F,Nicolas Batum,28,CHO,2,200,0.010,77,34.0,15.1,6.2,5.9,1.1,0.4,.403,.333,.856,4.6,.084,2.8,0.2,108,batumni01
ORV,C,Marc Gasol,32,MEM,2,200,0.010,74,34.2,19.5,6.3,4.6,0.9,1.3,.459,.388,.837,7.7,.145,3.5,1.4,106,gasolma01
ORV,G,Eric Gordon,28,HOU,2,200,0.010,75,31.0,16.2,2.7,2.5,0.6,0.5,.406,.372,.840,3.8,.079,1.4,-1.4,113,gordoer01
ORV,C,Karl-Anthony Towns,21,MIN,2,200,0.010,82,37.0,25.1,12.3,2.7,0.7,1.3,.542,.367,.832,12.7,.201,2.8,-0.7,110,townska01
ORV,C,Steven Adams,23,OKC,1,200,0.005,80,29.9,11.3,7.7,1.1,1.1,1.0,.571,.000,.611,6.5,.130,3.1,0.0,107,adamsst01
ORV,F,LaMarcus Aldridge,31,SAS,1,200,0.005,72,32.4,17.3,7.3,1.9,0.6,1.2,.477,.411,.812,7.2,.149,3.7,0.1,104,aldrila01
ORV,F,Al-Farouq Aminu,26,POR,1,200,0.005,61,29.1,8.7,7.4,1.6,1.0,0.7,.393,.330,.706,1.9,.051,2.0,0.4,108,aminual01
ORV,G,Kentavious Caldwell-Pope,23,DET,1,200,0.005,76,33.3,13.8,3.3,2.5,1.2,0.2,.399,.350,.832,4.5,.086,2.5,0.4,109,caldwke01
ORV,G,George Hill,30,UTA,1,200,0.005,49,31.5,16.9,3.4,4.2,1.0,0.2,.477,.403,.801,5.9,.182,1.9,0.8,107,hillge01
ORV,F,Serge Ibaka,27,TOT,1,200,0.005,79,30.7,14.8,6.8,0.9,0.5,1.6,.480,.391,.856,5.1,.101,2.6,-0.3,109,ibakase01
ORV,G,Damian Lillard,26,POR,1,200,0.005,75,35.9,27.0,4.9,5.9,0.9,0.3,.444,.370,.895,10.4,.185,1.5,-1.1,113,lillada01
ORV,F,Luc Mbah a Moute,30,LAC,1,200,0.005,80,22.3,6.1,2.1,0.5,1.0,0.4,.505,.391,.678,3.1,.084,1.8,1.3,109,mbahalu01
ORV,G,Austin Rivers,24,LAC,1,200,0.005,74,27.8,12.0,2.2,2.8,0.6,0.1,.442,.371,.691,2.5,.059,1.3,-1.0,112,riverau01
ORV,G,Isaiah Thomas,27,BOS,1,200,0.005,76,33.8,28.9,2.7,5.9,0.9,0.2,.463,.379,.909,12.5,.234,1.6,-1.1,112,thomais02
ORV,C,Cody Zeller,24,CHO,1,200,0.005,62,27.8,10.3,6.5,1.6,1.0,0.9,.571,.000,.679,5.6,.157,2.2,1.1,107,zelleco01
