,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Corner 3s,Corner 3s,,Heaves,Heaves,-additional
Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P,0-3,3-10,10-16,16-3P,3P,,2P,0-3,3-10,10-16,16-3P,3P,,2P,3P,,%FGA,#,,%3PA,3P%,,Att.,#,-9999
48,Erick Dampier,C,34,DAL,5,118,.000,2.2,,1.000,.750,.250,.000,.000,.000,,.000,.000,.000,,,,,,,,.000,0,,,,,0,0,dampier01
49,Marquis Daniels,SF,29,BOS,11,37,.385,11.1,,.846,.154,.308,.308,.077,.154,,.364,1.000,.250,.000,1.000,.500,,.500,1.000,,.000,0,,1.000,.500,,0,0,daniema01
50,Glen Davis,PF,24,BOS,24,483,.476,7.4,,.976,.565,.089,.073,.250,.024,,.488,.586,.364,.333,.355,.000,,.831,,,.024,3,,.333,.000,,0,0,davisgl01
51,Carlos Delfino,SF,27,MIL,7,226,.356,15.8,,.493,.247,.096,.041,.110,.507,,.306,.556,.143,.000,.000,.405,,.364,1.000,,.014,1,,.541,.400,,0,0,delfica01
52,Luol Deng,SF,24,CHI,5,203,.463,13.6,,.850,.250,.100,.075,.425,.150,,.529,.650,.500,.667,.441,.083,,.583,1.000,,.050,3,,.667,.000,,0,0,denglu01
53,Boris Diaw,PF,27,CHA,4,152,.500,14.1,,.679,.214,.214,.107,.143,.321,,.684,.833,.667,.667,.500,.111,,.692,1.000,,.036,1,,.000,,,0,0,diawbo01
54,Travis Diener,PG,27,POR,2,7,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0,dienetr01
55,Goran Dragić,PG,23,PHO,16,237,.430,14.4,,.600,.280,.120,.060,.140,.400,,.500,.571,.500,.500,.357,.325,,.200,.462,,.010,0,,.175,.571,,0,0,dragigo01
56,Jared Dudley,SF,24,PHO,16,377,.465,17.7,,.314,.244,.035,.012,.023,.686,,.556,.571,.333,1.000,.500,.424,,.400,1.000,,.000,0,,.407,.458,,0,0,dudleja01
57,Tim Duncan*,C,33,SAS,10,373,.520,6.7,,.987,.360,.380,.200,.047,.013,,.520,.722,.456,.367,.143,.500,,.558,1.000,,.073,8,,.000,,,0,0,duncati01
58,Kevin Durant,SF,21,OKC,6,231,.350,14.5,,.715,.228,.089,.187,.211,.285,,.375,.464,.364,.304,.346,.286,,.576,.600,,.057,6,,.029,.000,,1,0,duranke01
59,Maurice Evans,SF,31,ATL,11,148,.297,13.6,,.730,.297,.081,.054,.297,.270,,.296,.273,.333,.500,.273,.300,,.500,1.000,,.027,1,,.600,.167,,0,0,evansma01
60,Jordan Farmar,PG,23,LAL,23,301,.404,16.6,,.468,.255,.053,.053,.106,.532,,.409,.500,.200,.200,.400,.400,,.500,.900,,.021,2,,.300,.600,,1,0,farmajo01
61,Raymond Felton,PG,25,CHA,4,130,.405,13.6,,.690,.357,.024,.071,.238,.310,,.448,.467,1.000,.333,.400,.308,,.385,1.000,,.000,0,,.000,,,0,0,feltora01
62,Rudy Fernández,SG,24,POR,6,119,.444,23.0,,.148,.037,.000,.037,.074,.852,,.250,.000,,1.000,.000,.478,,.000,.818,,.000,0,,.043,.000,,0,0,fernaru01
63,Kyrylo Fesenko,C,23,UTA,10,181,.433,1.5,,1.000,.733,.233,.033,.000,.000,,.433,.500,.286,.000,,,,.769,,,.200,6,,,,,0,0,fesenky01
64,Michael Finley,SF,36,BOS,18,108,.250,21.6,,.450,.000,.000,.100,.350,.550,,.222,,,.500,.143,.273,,.500,1.000,,.000,0,,.182,.500,,0,0,finlemi01
65,Derek Fisher,PG,35,LAL,23,754,.448,17.9,,.590,.148,.055,.071,.317,.410,,.509,.481,.600,.538,.500,.360,,.455,.926,,.000,0,,.240,.278,,0,0,fishede01
66,Channing Frye,C,26,PHO,16,435,.364,21.6,,.271,.068,.042,.025,.136,.729,,.406,.500,.400,.333,.375,.349,,.769,1.000,,.008,1,,.163,.429,,0,0,fryech01
67,Dan Gadzuric,C,31,MIL,7,76,.529,5.7,,1.000,.529,.176,.118,.176,.000,,.529,.667,.000,.000,1.000,,,.778,,,.118,2,,,,,0,0,gadzuda01
68,Sundiata Gaines,PG,23,UTA,5,7,.833,12.9,,.833,.333,.000,.167,.333,.167,,.800,1.000,,1.000,.500,1.000,,.000,1.000,,.000,0,,.000,,,0,0,gainesu01
69,Kevin Garnett*,PF,33,BOS,23,766,.495,10.1,,.993,.282,.223,.173,.316,.007,,.498,.612,.478,.385,.474,.000,,.664,,,.050,13,,.000,,,0,0,garneke01
70,Pau Gasol*,C,29,LAL,23,913,.539,6.9,,.990,.408,.265,.193,.124,.010,,.545,.632,.481,.475,.500,.000,,.539,,,.078,22,,.333,.000,,0,0,gasolpa01
71,Daniel Gibson,PG,23,CLE,5,23,.286,20.4,,.429,.000,.143,.000,.286,.571,,.333,,1.000,,.000,.250,,.000,1.000,,.000,0,,.500,.500,,0,0,gibsoda01
72,Taj Gibson,PF,24,CHI,5,145,.421,10.2,,1.000,.263,.184,.289,.263,.000,,.421,.600,.286,.364,.400,,,.750,,,.105,3,,,,,0,0,gibsota01
73,Manu Ginóbili*,SG,32,SAS,10,352,.414,14.8,,.571,.257,.121,.086,.107,.429,,.475,.611,.353,.417,.333,.333,,.237,.900,,.014,2,,.200,.417,,1,0,ginobma01
74,Marcin Gortat,C,25,ORL,14,212,.654,1.9,,1.000,.731,.231,.038,.000,.000,,.654,.737,.500,.000,,,,.706,,,.269,5,,,,,0,0,gortama01
75,Joey Graham,SF,27,DEN,4,29,.588,8.4,,.824,.529,.059,.118,.118,.176,,.643,.667,1.000,.000,1.000,.333,,.778,1.000,,.118,2,,1.000,.333,,0,0,grahajo01
76,Stephen Graham,SG,27,CHA,2,5,.000,17.2,,.750,.000,.250,.000,.500,.250,,.000,,.000,,.000,.000,,,,,.000,0,,.000,,,0,0,grahast01
77,Jeff Green,PF,23,OKC,6,224,.329,12.8,,.614,.386,.071,.057,.100,.386,,.349,.407,.400,.000,.286,.296,,.600,1.000,,.071,4,,.222,.500,,0,0,greenje02
78,James Harden,SG,20,OKC,6,120,.387,13.8,,.484,.387,.065,.000,.032,.516,,.400,.333,.500,,1.000,.375,,.500,1.000,,.032,1,,.500,.375,,0,0,hardeja01
79,Udonis Haslem,PF,29,MIA,5,142,.351,10.8,,1.000,.243,.189,.216,.351,.000,,.351,.444,.286,.125,.462,,,.846,,,.081,2,,,,,0,0,hasleud01
