,,,,Voting,Voting,Voting,Voting,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,-additional
22T,Shaquille O'Neal,32,MIA,1.0,5.0,615,0.008,73,34.1,22.9,10.4,2.7,0.5,2.3,.601,,.461,11.0,.211,onealsh01
22T,Eddy Curry,22,CHI,0.0,5.0,615,0.008,63,28.7,16.1,5.4,0.6,0.3,0.9,.538,,.720,4.3,.115,curryed01
26T,Reggie Evans,24,SEA,0.0,3.0,615,0.005,79,23.8,4.9,9.3,0.7,0.7,0.2,.476,.000,.534,3.8,.096,evansre01
26T,Fred Jones,25,IND,0.0,3.0,615,0.005,77,29.5,10.6,3.1,2.5,0.8,0.4,.425,.380,.850,4.8,.102,jonesfr01
26T,Brevin Knight,29,CHA,0.0,3.0,615,0.005,66,29.5,10.1,2.6,9.0,2.0,0.1,.422,.150,.852,4.5,.110,knighbr01
26T,Jason Richardson,24,GSW,0.0,3.0,615,0.005,72,37.8,21.7,5.9,3.9,1.5,0.4,.446,.338,.693,5.7,.100,richaja01
26T,Gerald Wallace,22,CHA,0.0,3.0,615,0.005,70,30.7,11.1,5.5,2.0,1.7,1.3,.449,.274,.661,2.4,.055,wallage01
31,Drew Gooden,23,CLE,0.0,2.0,615,0.003,82,30.8,14.4,9.2,1.6,0.9,0.9,.492,.179,.810,8.5,.163,goodedr01
32T,Ricky Davis,25,BOS,0.0,1.0,615,0.002,82,32.9,16.0,3.0,3.0,1.1,0.3,.462,.339,.815,4.2,.074,davisri01
32T,Anthony Johnson,30,IND,0.0,1.0,615,0.002,63,27.7,8.4,2.8,4.8,0.9,0.2,.445,.380,.752,4.0,.110,johnsan02
32T,Rashard Lewis,25,SEA,0.0,1.0,615,0.002,71,38.0,20.5,5.5,1.3,1.1,0.9,.462,.400,.777,8.4,.150,lewisra02
32T,Tony Parker,22,SAS,0.0,1.0,615,0.002,80,34.2,16.6,3.7,6.1,1.2,0.1,.482,.276,.650,8.1,.141,parketo01
32T,Mickaël Piétrus,22,GSW,0.0,1.0,615,0.002,67,20.0,9.5,2.8,1.2,0.7,0.3,.427,.344,.698,2.1,.075,pietrmi01
