,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
22,Philadelphia 76ers,82,19905,.463,12.0,,.788,.334,.117,.110,.227,.212,,.493,.597,.413,.391,.431,.351,,.560,.851,,.052,326,,.259,924,,.276,.370
23,Phoenix Suns*,82,19955,.454,12.7,,.801,.287,.131,.118,.265,.199,,.477,.614,.421,.354,.411,.363,,.421,.771,,.043,276,,.222,912,,.199,.406
24,Portland Trail Blazers,82,19730,.468,11.9,,.798,.325,.135,.101,.237,.202,,.491,.588,.402,.420,.438,.381,,.520,.841,,.056,319,,.241,818,,.249,.382
25,Sacramento Kings*,82,19830,.454,12.4,,.804,.278,.162,.109,.256,.196,,.479,.630,.398,.395,.401,.351,,.517,.853,,.047,296,,.207,798,,.299,.411
26,San Antonio Spurs*,82,19805,.433,10.9,,.862,.317,.179,.152,.213,.138,,.449,.572,.357,.384,.388,.339,,.442,.793,,.036,202,,.270,902,,.258,.358
27,Seattle SuperSonics,82,19830,.485,12.1,,.781,.312,.142,.101,.226,.219,,.516,.655,.416,.414,.434,.375,,.563,.878,,.056,346,,.233,907,,.278,.448
28,Toronto Raptors,82,19955,.491,11.8,,.789,.334,.125,.110,.219,.211,,.522,.643,.417,.435,.441,.373,,.559,.894,,.060,363,,.235,865,,.300,.445
29,Utah Jazz,82,19880,.449,12.6,,.787,.296,.131,.105,.254,.213,,.469,.586,.384,.374,.415,.378,,.490,.845,,.048,267,,.226,715,,.256,.419
30,Washington Wizards*,82,19830,.465,12.4,,.787,.282,.171,.113,.221,.213,,.493,.668,.357,.424,.409,.363,,.534,.848,,.047,294,,.222,892,,.302,.408
,League Average,82,19852,.454,12.2,,.798,.309,.133,.119,.236,.202,,.478,.601,.400,.391,.405,.358,,.523,.851,,.049,288,,.239,836,,.270,.390
