,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,% of FG Ast'd,% of FG Ast'd,,Dunks,Dunks,,Layups,Layups,,Corner,Corner
17,Milwaukee Bucks,67,16155,.472,14.3,,.621,.224,.202,.134,.062,.379,,.540,.708,.433,.483,.404,.360,,.531,.804,,.058,306,,.259,874,,.208,.368
18,Minnesota Timberwolves,66,15965,.447,13.8,,.628,.229,.211,.124,.064,.372,,.505,.683,.393,.438,.362,.350,,.529,.856,,.056,281,,.262,787,,.241,.384
19,New Orleans Pelicans,66,15865,.460,14.7,,.558,.242,.180,.084,.052,.442,,.550,.705,.445,.410,.421,.346,,.571,.847,,.061,322,,.261,871,,.254,.381
20,New York Knicks,66,15840,.469,13.7,,.599,.282,.173,.088,.056,.401,,.536,.656,.437,.430,.407,.368,,.533,.846,,.058,283,,.285,891,,.278,.402
21,Oklahoma City Thunder,66,15940,.454,14.2,,.588,.243,.198,.092,.054,.412,,.518,.641,.444,.426,.389,.364,,.552,.885,,.054,273,,.277,865,,.309,.376
22,Orlando Magic,67,16180,.474,14.0,,.615,.233,.213,.104,.065,.385,,.547,.693,.473,.470,.392,.358,,.512,.811,,.057,281,,.277,886,,.246,.374
23,Philadelphia 76ers,66,15890,.473,13.8,,.611,.271,.197,.086,.057,.389,,.549,.716,.413,.435,.403,.353,,.554,.853,,.069,365,,.280,907,,.233,.379
24,Phoenix Suns,67,16180,.463,14.1,,.598,.254,.192,.094,.059,.402,,.530,.683,.432,.419,.372,.363,,.526,.818,,.055,296,,.283,982,,.243,.371
25,Portland Trail Blazers,66,16040,.492,13.7,,.619,.272,.192,.094,.061,.381,,.579,.739,.474,.447,.395,.351,,.552,.864,,.074,386,,.279,990,,.235,.413
26,Sacramento Kings,65,15750,.487,14.0,,.616,.214,.244,.102,.056,.384,,.545,.689,.504,.429,.386,.395,,.564,.850,,.058,297,,.280,919,,.258,.417
27,San Antonio Spurs,67,16130,.492,13.5,,.626,.275,.193,.098,.061,.374,,.559,.696,.465,.439,.428,.380,,.534,.842,,.077,415,,.277,973,,.229,.392
28,Toronto Raptors,67,16205,.487,13.8,,.610,.263,.200,.087,.059,.390,,.557,.700,.473,.415,.416,.377,,.546,.853,,.064,353,,.280,1003,,.243,.407
29,Utah Jazz,66,15965,.485,14.1,,.597,.214,.245,.089,.049,.403,,.545,.691,.478,.456,.409,.397,,.568,.865,,.068,354,,.266,880,,.212,.454
30,Washington Wizards,66,15865,.500,13.3,,.639,.254,.238,.094,.053,.361,,.575,.746,.465,.459,.453,.367,,.555,.855,,.076,421,,.297,1083,,.236,.416
,League Average,66,16008,.475,14.0,,.607,.243,.211,.095,.058,.393,,.545,.696,.454,.443,.408,.367,,.537,.844,,.060,315,,.276,924,,.242,.395
